Entity ID,Base entity,Simple entity,Name,Label,Table (nested),Datatype,Values,Operators,Queryable,Showable in results,API Only,Essential
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,effective_library,effective_library.campus_id,Holdings — Effective library — Campus UUID,,uuid,dropdown from API(location-units/libraries),"=, ≠, in, not in, empty",true,true,true,true
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,effective_library,effective_library.code,Holdings — Effective library — Code,,string,dropdown from API(location-units/libraries),"=, ≠, in, not in, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,effective_library,effective_library.jsonb,Holdings — Effective library — JSON,,string,,not queryable,false,true,true,true
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,effective_library,effective_library.name,Holdings — Effective library — Name,,string,dropdown from API(location-units/libraries),"=, ≠, in, not in, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,effective_library,effective_library.id,Holdings — Effective library — UUID,,uuid,dropdown from API(location-units/libraries),"=, ≠, in, not in, empty",true,true,true,true
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,effective_location,effective_location.campus_id,Holdings — Effective location — Campus UUID,,uuid,,"=, ≠, in, not in, empty",true,true,true,true
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,effective_location,effective_location.code,Holdings — Effective location — Code,,string,dropdown from API(locations),"=, ≠, in, not in, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,effective_location,effective_location.description,Holdings — Effective location — Description,,string,,"=, ≠, contains, starts, empty",true,true,true,true
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,effective_location,effective_location.details,Holdings — Effective location — Details,,object,,not queryable,false,true,true,true
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,effective_location,effective_location.discovery_display_name,Holdings — Effective location — Discovery display name,,string,dropdown from API(locations),"=, ≠, in, not in, empty",true,true,true,true
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,effective_location,effective_location.institution_id,Holdings — Effective location — Institution UUID,,uuid,,"=, ≠, in, not in, empty",true,true,true,true
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,effective_location,effective_location.is_active,Holdings — Effective location — Is active,,boolean,true-false,"=, ≠, empty",true,true,true,true
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,effective_location,effective_location.jsonb,Holdings — Effective location — JSONB,,string,,not queryable,false,true,true,true
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,effective_location,effective_location.name,Holdings — Effective location — Name,,string,dropdown from API(locations),"=, ≠, in, not in, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,effective_location,effective_location.primary_service_point,Holdings — Effective location — Primary service point UUID,,uuid,,"=, ≠, in, not in, empty",true,true,true,true
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,effective_location,effective_location.service_point_ids,Holdings — Effective location — Service point UUIDs,,uuid[],,not queryable,false,true,true,true
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,effective_location,effective_location.id,Holdings — Effective location — UUID,,uuid,dropdown from API(locations),"=, ≠, in, not in, empty",true,true,true,true
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.acquisition_format,Holdings — Holding — Acquisition format,,string,,"=, ≠, contains, starts, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.acquisition_method,Holdings — Holding — Acquisition method,,string,,"=, ≠, contains, starts, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.administrative_notes,Holdings — Holding — Administrative notes,,string[],,not queryable,false,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.call_number,Holdings — Holding — Call number,,string,,"=, ≠, contains, starts, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.call_number_prefix,Holdings — Holding — Call number prefix,,string,,"=, ≠, contains, starts, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.call_number_suffix,Holdings — Holding — Call number suffix,,string,,"=, ≠, contains, starts, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.call_number_type_id,Holdings — Holding — Call number type UUID,,uuid,,not queryable,false,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.copy_number,Holdings — Holding — Copy number,,string,,"=, ≠, contains, starts, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.created_at,Holdings — Holding — Created at,,date,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.created_by,Holdings — Holding — Created by user UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.digitization_policy,Holdings — Holding — Digitization policy,,string,,"=, ≠, contains, starts, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.effective_location_id,Holdings — Holding — Effective location UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.electronic_access,Holdings — Holding — Electronic access,,object[],,not queryable,false,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.electronic_access[*]->uri,Electronic access URI,Holdings — Holding — Electronic access > URI,string,,not queryable,false,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.electronic_access[*]->link_text,Electronic access link text,Holdings — Holding — Electronic access > Link text,string,,not queryable,false,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.electronic_access[*]->materials_specification,Electronic access materials specification,Holdings — Holding — Electronic access > Materials specification,string,,not queryable,false,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.electronic_access[*]->public_note,Electronic access public note,Holdings — Holding — Electronic access > Public note,string,,not queryable,false,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.electronic_access[*]->relationship_id,Electronic access relationship UUID,Holdings — Holding — Electronic access > Relationship UUID,string,,not queryable,false,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.former_ids,Holdings — Holding — Former IDs,,string[],,not queryable,false,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.holdings_type_id,Holdings — Holding — Holding type UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.hrid,Holdings — Holding — HRID,,string,,"=, ≠, contains, starts, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.ill_policy_id,Holdings — Holding — ILL policy UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.instance_id,Holdings — Holding — Instance UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.jsonb,Holdings — Holding — JSONB,,string,,not queryable,false,true,true,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.notes,Holdings — Holding — Notes,,object[],,not queryable,false,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.notes[*]->holdings_note_type_id,Notes type UUID,Holdings — Holding — Notes > Type UUID,uuid,,not queryable,false,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,composite_holdings_record,holdings,holdings.notes[*]->note,Notes,Holdings — Holding — Notes > Note,string,,not queryable,false,true,false,false
