Entity ID,Base entity,Simple entity,Name,Label,Table (nested),Datatype,Values,Operators,Queryable,Showable in results,API Only,Essential
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,inst_stat,inst_stat.code,Instances — Instance status — Code,,string,,"=, ≠, contains, starts, empty",true,true,false,true
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,inst_stat,inst_stat.jsonb,Instances — Instance status — JSONB,,string,,not queryable,false,true,true,false
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,inst_stat,inst_stat.name,Instances — Instance status — Term,,string,dropdown from API(instance-statuses),"=, ≠, in, not in, empty",true,true,false,true
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,inst_stat,inst_stat.id,Instances — Instance status — UUID,,uuid,dropdown from API(instance-statuses),"=, ≠, in, not in, empty",true,true,true,false
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.administrative_notes,Instances — Instance — Administrative notes,,string[],,not queryable,false,true,false,true
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.alternative_titles,Instances — Instance — Alternative titles,,object[],,not queryable,false,true,false,true
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.alternative_titles[*]->type_id,Alternative titles type UUID,Instances — Instance — Alternative titles > Type UUID,string,,not queryable,false,true,false,false
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.alternative_titles[*]->title,Alternative titles title,Instances — Instance — Alternative titles > Title,string,,not queryable,false,true,false,false
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.cataloged_date,Instances — Instance — Cataloged date,,date,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,true
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.classifications,Instances — Instance — Classifications,,object[],,not queryable,false,true,false,true
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.classifications[*]->number,Classification number,Instances — Instance — Classifications > Number,string,,not queryable,false,true,false,false
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.classifications[*]->type_id,Classification type UUID,Instances — Instance — Classifications > Type UUID,uuid,,not queryable,false,true,false,false
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.contributors,Instances — Instance — Contributors,,object[],,not queryable,false,true,false,true
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.contributors[*]->name,Contributors name,Instances — Instance — Contributors > Name,string,,not queryable,false,true,false,false
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.contributors[*]->contributor_type_id,Contributors contributor type UUID,Instances — Instance — Contributors > Contributor type UUID,string,,not queryable,false,true,false,false
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.contributors[*]->contributor_type_text,Contributors contributor type text,Instances — Instance — Contributors > Contributor type text,string,,not queryable,false,true,false,false
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.contributors[*]->contributor_name_type_id,Contributors contributor name type UUID,Instances — Instance — Contributors > Contributor name type UUID,string,,not queryable,false,true,false,false
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.contributors[*]->primary,Contributors primary,Instances — Instance — Contributors > Primary,boolean,true-false,not queryable,false,true,false,false
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.created_by,Instances — Instance — Created by user UUID,,uuid,,"=, ≠, in, not in, empty",true,true,true,true
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.created_at,Instances — Instance — Created date,,date,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,true
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.discovery_suppress,Instances — Instance — Discovery suppress,,boolean,true-false,"=, ≠, empty",true,true,false,true
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.editions,Instances — Instance — Editions,,string[],,not queryable,false,true,false,true
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.electronic_access,Instances — Instance — Electronic access,,object[],,not queryable,false,true,false,true
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.electronic_access[*]->uri,Electronic access URI,Instances — Instance — Electronic access > URI,string,,not queryable,false,true,false,false
6b08439b-4f8e-4468-8046-ea620f5cfb74,composite_instances,instance,instance.electronic_access[*]->link_text,Electronic access link text,Instances — Instance — Electronic access > Link text,string,,not queryable,false,true,false,false
