Entity ID,Base entity,Simple entity,Name,Label,Table (nested),Datatype,Values,Operators,Queryable,Showable in results,API Only,Essential
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_call_number,effective_call_number.created_by_user_id,Items — Effective call number — Created by user UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_call_number,effective_call_number.created_by_username,Items — Effective call number — Created by username,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_call_number,effective_call_number.created_date,Items — Effective call number — Created date,,date,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_call_number,effective_call_number.jsonb,Items — Effective call number — JSONB,,string,,not queryable,false,true,true,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_call_number,effective_call_number.name,Items — Effective call number — Name,,string,dropdown from API(call-number-types),"=, ≠, in, not in, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_call_number,effective_call_number.source,Items — Effective call number — Source,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_call_number,effective_call_number.updated_by_user_id,Items — Effective call number — Updated by user UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_call_number,effective_call_number.updated_by_username,Items — Effective call number — Updated by username,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_call_number,effective_call_number.updated_date,Items — Effective call number — Updated date,,date,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_call_number,effective_call_number.id,Items — Effective call number — UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_location,effective_location.campus_id,Items — Effective location — Campus UUID,,uuid,,"=, ≠, in, not in, empty",true,true,true,true
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_location,effective_location.code,Items — Effective location — Code,,string,dropdown from API(locations),"=, ≠, in, not in, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_location,effective_location.description,Items — Effective location — Description,,string,,"=, ≠, contains, starts, empty",true,true,true,true
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_location,effective_location.details,Items — Effective location — Details,,object,,not queryable,false,true,true,true
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_location,effective_location.discovery_display_name,Items — Effective location — Discovery display name,,string,dropdown from API(locations),"=, ≠, in, not in, empty",true,true,true,true
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_location,effective_location.institution_id,Items — Effective location — Institution UUID,,uuid,,"=, ≠, in, not in, empty",true,true,true,true
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_location,effective_location.is_active,Items — Effective location — Is active,,boolean,true-false,"=, ≠, empty",true,true,true,true
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_location,effective_location.jsonb,Items — Effective location — JSONB,,string,,not queryable,false,true,true,true
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_location,effective_location.name,Items — Effective location — Name,,string,dropdown from API(locations),"=, ≠, in, not in, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_location,effective_location.primary_service_point,Items — Effective location — Primary service point UUID,,uuid,,"=, ≠, in, not in, empty",true,true,true,true
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_location,effective_location.service_point_ids,Items — Effective location — Service point UUIDs,,uuid[],,not queryable,false,true,true,true
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,effective_location,effective_location.id,Items — Effective location — UUID,,uuid,dropdown from API(locations),"=, ≠, in, not in, empty",true,true,true,true
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.acquisition_format,Items — Holdings — Acquisition format,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.acquisition_method,Items — Holdings — Acquisition method,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.administrative_notes,Items — Holdings — Administrative notes,,string[],,not queryable,false,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.call_number,Items — Holdings — Call number,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.call_number_prefix,Items — Holdings — Call number prefix,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.call_number_suffix,Items — Holdings — Call number suffix,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.call_number_type_id,Items — Holdings — Call number type UUID,,uuid,,not queryable,false,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.copy_number,Items — Holdings — Copy number,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.created_at,Items — Holdings — Created at,,date,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.created_by,Items — Holdings — Created by user UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.digitization_policy,Items — Holdings — Digitization policy,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.effective_location_id,Items — Holdings — Effective location UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.electronic_access,Items — Holdings — Electronic access,,object[],,not queryable,false,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.electronic_access[*]->uri,Electronic access URI,Items — Holdings — Electronic access > URI,string,,not queryable,false,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.electronic_access[*]->link_text,Electronic access link text,Items — Holdings — Electronic access > Link text,string,,not queryable,false,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.electronic_access[*]->materials_specification,Electronic access materials specification,Items — Holdings — Electronic access > Materials specification,string,,not queryable,false,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.electronic_access[*]->public_note,Electronic access public note,Items — Holdings — Electronic access > Public note,string,,not queryable,false,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.electronic_access[*]->relationship_id,Electronic access relationship UUID,Items — Holdings — Electronic access > Relationship UUID,string,,not queryable,false,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.former_ids,Items — Holdings — Former IDs,,string[],,not queryable,false,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.holdings_type_id,Items — Holdings — Holding type UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.hrid,Items — Holdings — HRID,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.ill_policy_id,Items — Holdings — ILL policy UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.instance_id,Items — Holdings — Instance UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.jsonb,Items — Holdings — JSONB,,string,,not queryable,false,true,true,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.notes,Items — Holdings — Notes,,object[],,not queryable,false,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.notes[*]->holdings_note_type_id,Notes type UUID,Items — Holdings — Notes > Type UUID,uuid,,not queryable,false,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.notes[*]->note,Notes,Items — Holdings — Notes > Note,string,,not queryable,false,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.notes[*]->staff_only,Notes staff only,Items — Holdings — Notes > Staff only,boolean,true-false,not queryable,false,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.number_of_items,Items — Holdings — Number of items,,number,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.permanent_location_id,Items — Holdings — Permanent location UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.receipt_status,Items — Holdings — Receipt status,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.receiving_history_display_type,Items — Holdings — Receiving history display type,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.receiving_history_entries,Items — Holdings — Receiving history entries,,object[],,not queryable,false,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.receiving_history_entries[*]->public_display,Receiving history entries public display,Items — Holdings — Receiving history entries > Public display,boolean,true-false,not queryable,false,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.receiving_history_entries[*]->enumeration,Receiving history entries enumeration,Items — Holdings — Receiving history entries > Enumeration,string,,not queryable,false,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.receiving_history_entries[*]->chronology,Receiving history entries chronology,Items — Holdings — Receiving history entries > Chronology,string,,not queryable,false,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.version,Items — Holdings — Record version,,number,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.retention_policy,Items — Holdings — Retention policy,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.shelving_title,Items — Holdings — Shelving title,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.source_id,Items — Holdings — Source UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.holdings_statements,Items — Holdings — Statements,,object[],,not queryable,false,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.holdings_statements[*]->statement,Statements — Statement,Items — Holdings — Statements > Statement,string,,not queryable,false,true,false,false
d0213d22-32cf-490f-9196-d81c3c66e53f,composite_item_details,holdings,holdings.holdings_statements[*]->note,Statements — Note,Items — Holdings — Statements > Note,string,,not queryable,false,true,false,false
