Entity ID,Base entity,Simple entity,Name,Label,Table (nested),Datatype,Values,Operators,Queryable,Showable in results,API Only,Essential
d6729885-f2fb-4dc7-b7d0-a865a7f461e4,composite_loan_details,cispi,cispi.code,Loans — Cispi — Code,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d6729885-f2fb-4dc7-b7d0-a865a7f461e4,composite_loan_details,cispi,cispi.created_by_user_id,Loans — Cispi — Created by user UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
d6729885-f2fb-4dc7-b7d0-a865a7f461e4,composite_loan_details,cispi,cispi.created_date,Loans — Cispi — Created Date,,date,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,false
d6729885-f2fb-4dc7-b7d0-a865a7f461e4,composite_loan_details,cispi,cispi.description,Loans — Cispi — Description,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d6729885-f2fb-4dc7-b7d0-a865a7f461e4,composite_loan_details,cispi,cispi.discovery_display_name,Loans — Cispi — Discovery display name,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d6729885-f2fb-4dc7-b7d0-a865a7f461e4,composite_loan_details,cispi,cispi.hold_shelf_closed_library_date_management,Loans — Cispi — Hold shelf closed library date management,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d6729885-f2fb-4dc7-b7d0-a865a7f461e4,composite_loan_details,cispi,cispi.hold_shelf_expiry_period_duration,Loans — Cispi — Hold shelf expiry period duration,,integer,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,false
d6729885-f2fb-4dc7-b7d0-a865a7f461e4,composite_loan_details,cispi,cispi.hold_shelf_expiry_period_interval_id,Loans — Cispi — Hold shelf expiry period interval UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
d6729885-f2fb-4dc7-b7d0-a865a7f461e4,composite_loan_details,cispi,cispi.jsonb,Loans — Cispi — JSONB,,string,,not queryable,false,true,true,false
d6729885-f2fb-4dc7-b7d0-a865a7f461e4,composite_loan_details,cispi,cispi.name,Loans — Cispi — Name,,string,,"=, ≠, contains, starts, empty",true,true,false,false
d6729885-f2fb-4dc7-b7d0-a865a7f461e4,composite_loan_details,cispi,cispi.pickup_location,Loans — Cispi — Pickup location,,boolean,true-false,"=, ≠, empty",true,true,false,false
d6729885-f2fb-4dc7-b7d0-a865a7f461e4,composite_loan_details,cispi,cispi.shelving_lag_time,Loans — Cispi — Shelving lag time,,integer,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,false
d6729885-f2fb-4dc7-b7d0-a865a7f461e4,composite_loan_details,cispi,cispi.staff_slips,Loans — Cispi — Staff slips,,object[],,not queryable,false,true,false,false
d6729885-f2fb-4dc7-b7d0-a865a7f461e4,composite_loan_details,cispi,cispi.staff_slips[*]->staff_slip_id,Staff slip UUID,Loans — Cispi — Staff slips > Staff slip UUID,uuid,,not queryable,false,true,false,false
