Entity ID,Base entity,Simple entity,Name,Label,Table (nested),Datatype,Values,Operators,Queryable,Showable in results,API Only,Essential
b5ffa2e9-8080-471a-8003-a8c5a1274503,simple_organization,,access_provider,Orgs — Access provider,,boolean,true-false,"=, ≠, empty",true,true,false,false
b5ffa2e9-8080-471a-8003-a8c5a1274503,simple_organization,,accounting_code,Orgs — Accounting code,,string,,"=, ≠, contains, starts, empty",true,true,false,false
b5ffa2e9-8080-471a-8003-a8c5a1274503,simple_organization,,accounts,Orgs — Accounts,,object[],,not queryable,false,true,false,false
b5ffa2e9-8080-471a-8003-a8c5a1274503,simple_organization,,accounts[*]->name,Accounts name,Orgs — Accounts > Name,string,,not queryable,false,true,false,false
b5ffa2e9-8080-471a-8003-a8c5a1274503,simple_organization,,accounts[*]->account_no,Accounts account number,Orgs — Accounts > Account number,string,,not queryable,false,true,false,false
b5ffa2e9-8080-471a-8003-a8c5a1274503,simple_organization,,accounts[*]->description,Accounts description,Orgs — Accounts > Description,string,,not queryable,false,true,false,false
b5ffa2e9-8080-471a-8003-a8c5a1274503,simple_organization,,accounts[*]->app_system_no,Accounts app system number,Orgs — Accounts > App system number,string,,not queryable,false,true,false,false
b5ffa2e9-8080-471a-8003-a8c5a1274503,simple_organization,,accounts[*]->payment_method,Accounts payment method,Orgs — Accounts > Payment method,string,"dropdown hardcoded (Cash, Credit card, Eft, Deposit account, Physical check, Bank draft, Internal transfer, Other)",not queryable,false,true,false,false
b5ffa2e9-8080-471a-8003-a8c5a1274503,simple_organization,,accounts[*]->account_status,Accounts status,Orgs — Accounts > Status,string,,not queryable,false,true,false,false
b5ffa2e9-8080-471a-8003-a8c5a1274503,simple_organization,,accounts[*]->contact_info,Accounts contact info,Orgs — Accounts > Contact info,string,,not queryable,false,true,false,false
b5ffa2e9-8080-471a-8003-a8c5a1274503,simple_organization,,accounts[*]->library_code,Accounts library code,Orgs — Accounts > Library code,string,,not queryable,false,true,false,false
b5ffa2e9-8080-471a-8003-a8c5a1274503,simple_organization,,accounts[*]->library_edi_code,Accounts library EDI code,Orgs — Accounts > Library EDI code,string,,not queryable,false,true,false,false
b5ffa2e9-8080-471a-8003-a8c5a1274503,simple_organization,,accounts[*]->notes,Accounts notes,Orgs — Accounts > Notes,string,,not queryable,false,true,false,false
b5ffa2e9-8080-471a-8003-a8c5a1274503,simple_organization,,accounts[*]->acq_unit_ids,Accounts acquisition unit UUIDs,Orgs — Accounts > Acquisition unit UUIDs,uuid[],,not queryable,false,true,false,false
