Entity ID,Base entity,Simple entity,Name,Label,Table (nested),Datatype,Values,Operators,Queryable,Showable in results,API Only,Essential
abc777d3-2a45-43e6-82cb-71e8c96d13d2,composite_purchase_order_lines,assigned_to_user,assigned_to_user.active,POL — Assigned to user — Active,,boolean,true-false,"=, ≠, empty",true,true,false,true
abc777d3-2a45-43e6-82cb-71e8c96d13d2,composite_purchase_order_lines,assigned_to_user,assigned_to_user.barcode,POL — Assigned to user — Barcode,,string,,"=, ≠, contains, starts, empty",true,true,false,true
abc777d3-2a45-43e6-82cb-71e8c96d13d2,composite_purchase_order_lines,assigned_to_user,assigned_to_user.expiration_date,POL — Assigned to user — Expiration date,,date,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,true
abc777d3-2a45-43e6-82cb-71e8c96d13d2,composite_purchase_order_lines,assigned_to_user,assigned_to_user.last_name_first_name,"POL — Assigned to user — Last name, first name",,string,,"=, ≠, contains, starts, empty",true,true,false,true
abc777d3-2a45-43e6-82cb-71e8c96d13d2,composite_purchase_order_lines,assigned_to_user,assigned_to_user.id,POL — Assigned to user — User UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,true
abc777d3-2a45-43e6-82cb-71e8c96d13d2,composite_purchase_order_lines,rates,rates.currency,POL — Exchange rate — Currency,,string,,"=, ≠, contains, starts, empty",true,true,false,false
abc777d3-2a45-43e6-82cb-71e8c96d13d2,composite_purchase_order_lines,rates,rates.rate,POL — Exchange rate — Rate,,number,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,false
abc777d3-2a45-43e6-82cb-71e8c96d13d2,composite_purchase_order_lines,po_created_by_user,po_created_by_user.active,POL — PO created by user — Active,,boolean,true-false,"=, ≠, empty",true,true,false,true
abc777d3-2a45-43e6-82cb-71e8c96d13d2,composite_purchase_order_lines,po_created_by_user,po_created_by_user.barcode,POL — PO created by user — Barcode,,string,,"=, ≠, contains, starts, empty",true,true,false,true
abc777d3-2a45-43e6-82cb-71e8c96d13d2,composite_purchase_order_lines,po_created_by_user,po_created_by_user.expiration_date,POL — PO created by user — Expiration date,,date,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,true
