Entity ID,Base entity,Simple entity,Name,Label,Table (nested),Datatype,Values,Operators,Queryable,Showable in results,API Only,Essential
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,,ADA accomodation,Users — ADA accomodation,,boolean,true-false,"=, ≠, empty",true,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,groups,groups.created_by_user_id,Users — Group — Created by user UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,groups,groups.created_by_username,Users — Group — Created by username,,string,,"=, ≠, contains, starts, empty",true,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,groups,groups.created_date,Users — Group — Created date,,date,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,groups,groups.desc,Users — Group — Desc,,string,,not queryable,false,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,groups,groups.expiration_off_set_in_days,Users — Group — Expiration off set in days,,integer,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,groups,groups.group,Users — Group — Group,,string,,"=, ≠, contains, starts, empty",true,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,groups,groups.jsonb,Users — Group — JSONB,,string,,not queryable,false,true,true,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,groups,groups.source,Users — Group — Source,,string,,"=, ≠, contains, starts, empty",true,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,groups,groups.updated_by_user_id,Users — Group — Updated by user UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,groups,groups.updated_by_username,Users — Group — Updated by username,,string,,"=, ≠, contains, starts, empty",true,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,groups,groups.updated_date,Users — Group — Updated date,,date,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,groups,groups.id,Users — Group — UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,,Is a community patron,Users — Is a community patron,,boolean,true-false,"=, ≠, empty",true,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,,PC-Pool-Nutzer,Users — PC-Pool-Nutzer,,boolean,true-false,"=, ≠, empty",true,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,users,users.active,Users — User — Active,,boolean,true-false,"=, ≠, empty",true,true,false,true
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,users,users.addresses,Users — User — Address,,object[],,not queryable,false,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,users,users.addresses[*]->address_id,Address UUID,Users — User — Address > Address UUID,uuid,,not queryable,false,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,users,users.addresses[*]->city,City,Users — User — Address > City,string,,not queryable,false,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,users,users.addresses[*]->region,Region,Users — User — Address > Region,string,,not queryable,false,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,users,users.addresses[*]->country_id,Country UUID,Users — User — Address > Country UUID,string,,not queryable,false,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,users,users.addresses[*]->postal_code,Postal Code,Users — User — Address > Postal code,string,,not queryable,false,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,users,users.addresses[*]->address_line1,Address line 1,Users — User — Address > Address line 1,string,,not queryable,false,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,users,users.addresses[*]->address_type_id,Address type UUID,Users — User — Address > Address type UUID,string,,not queryable,false,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,users,users.addresses[*]->primary_address,Primary address,Users — User — Address > Primary address,boolean,true-false,not queryable,false,true,false,false
ddc93926-d15a-4a45-9d9c-93eadc3d9bbf,composite_user_details,users,users.addresses[*]->address_line2,Address line 2,Users — User — Address > Address line 2,string,,not queryable,false,true,false,false
