Entity ID,Base entity,Simple entity,Name,Label,Table (nested),Datatype,Values,Operators,Queryable,Showable in results,API Only,Essential
8418e512-feac-4a6a-a56d-9006aab31e33,drv_holdings_record_details,,holdings_effective_library_code,Holdings effective library code,,string,dropdown from API(location-units/libraries),"=, ≠, in, not in, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,drv_holdings_record_details,,holdings_effective_library_id,Holdings effective library ID,,uuid,dropdown from API(location-units/libraries),"=, ≠, in, not in, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,drv_holdings_record_details,,holdings_effective_library_name,Holdings effective library name,,string,dropdown from API(location-units/libraries),"=, ≠, in, not in, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,drv_holdings_record_details,,holdings_effective_location,Holdings effective location,,string,dropdown from API(locations),"=, ≠, in, not in, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,drv_holdings_record_details,,holdings_effective_location_id,Holdings effective location ID,,uuid,dropdown from API(locations),"=, ≠, in, not in, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,drv_holdings_record_details,,holdings_hrid,Holdings HRID,,string,,"=, ≠, contains, starts, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,drv_holdings_record_details,,id,Holdings ID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,drv_holdings_record_details,,holdings_permanent_location,Holdings permanent location,,string,dropdown from API(locations),"=, ≠, in, not in, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,drv_holdings_record_details,,holdings_permanent_location_id,Holdings permanent location ID,,uuid,dropdown from API(locations),"=, ≠, in, not in, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,drv_holdings_record_details,,holdings_statistical_code_ids,Holdings statistical code ID list,,uuid[],,not queryable,false,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,drv_holdings_record_details,,holdings_statistical_codes,Holdings statistical code list,,string[],dropdown from entity (drv_inventory_statistical_code_full -> statistical_code),not queryable,false,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,drv_holdings_record_details,,holdings_suppress_from_discovery,Holdings suppress from discovery,,boolean,true-false,"=, ≠, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,drv_holdings_record_details,,holdings_temporary_location,Holdings temporary location,,string,dropdown from API(locations),"=, ≠, in, not in, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,drv_holdings_record_details,,holdings_temporary_location_id,Holdings temporary location ID,,uuid,dropdown from API(locations),"=, ≠, in, not in, empty",true,true,false,false
8418e512-feac-4a6a-a56d-9006aab31e33,drv_holdings_record_details,,instance_id,Instance UUID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
