Entity ID,Base entity,Simple entity,Name,Label,Table (nested),Datatype,Values,Operators,Queryable,Showable in results,API Only,Essential
0cb79a4c-f7eb-4941-a104-745224ae0292,drv_item_details,,holdings_id,Holdings ID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
0cb79a4c-f7eb-4941-a104-745224ae0292,drv_item_details,,instance_created_date,Instance created date,,date,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,false
0cb79a4c-f7eb-4941-a104-745224ae0292,drv_item_details,,instance_id,Instance ID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
0cb79a4c-f7eb-4941-a104-745224ae0292,drv_item_details,,instance_primary_contributor,Instance primary contributor,,string,,"=, ≠, contains, starts, empty",true,true,false,false
0cb79a4c-f7eb-4941-a104-745224ae0292,drv_item_details,,instance_title,Instance title,,string,,"=, ≠, contains, starts, empty",true,true,false,false
0cb79a4c-f7eb-4941-a104-745224ae0292,drv_item_details,,instance_updated_date,Instance updated date,,date,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,false
0cb79a4c-f7eb-4941-a104-745224ae0292,drv_item_details,,item_barcode,Item barcode,,string,,"=, ≠, contains, starts, empty",true,true,false,false
0cb79a4c-f7eb-4941-a104-745224ae0292,drv_item_details,,item_level_call_number,Item call number,,string,,"=, ≠, contains, starts, empty",true,true,false,false
0cb79a4c-f7eb-4941-a104-745224ae0292,drv_item_details,,item_level_call_number_typeid,Item call number type ID,,uuid,,"=, ≠, in, not in, empty",true,true,false,false
0cb79a4c-f7eb-4941-a104-745224ae0292,drv_item_details,,item_level_call_number_type_name,Item call number type name,,string,dropdown from entity (src_inventory_call_number_type -> call_number_type_name),"=, ≠, in, not in, empty",true,true,false,false
0cb79a4c-f7eb-4941-a104-745224ae0292,drv_item_details,,item_copy_number,Item copy number,,string,,"=, ≠, contains, starts, empty",true,true,false,false
0cb79a4c-f7eb-4941-a104-745224ae0292,drv_item_details,,item_created_date,Item created date,,date,,"=, ≠, >, ≥, <, ≤, empty",true,true,false,false
0cb79a4c-f7eb-4941-a104-745224ae0292,drv_item_details,,item_effective_call_number,Item effective call number,,string,,"=, ≠, contains, starts, empty",true,true,false,false
