Entity ID,Base entity,Simple entity,Name,Label,Table (nested),Datatype,Values,Operators,Queryable,Showable in results,API Only,Essential
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,acqunit_ids,Acquisition unit ID list,,uuid[],,not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,acquisition_unit,Acquisition unit list,,string[],dropdown from entity (src_acquisitions_unit -> acquisitions_name),not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,accounts,Organization account,,object[],,not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,accounts[*]->name,Account name,Organization account > Name,string,,not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,accounts[*]->notes,Account notes,Organization account > Notes,string,,not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,accounts[*]->accountNo,Account number,Organization account > Account number,string,,not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,accounts[*]->libraryCode,Account library code,Organization account > Library code,string,,not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,accounts[*]->libraryEdiCode,Account library EDI code,Organization account > Library EDI code,string,,not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,accounts[*]->contactInfo,Account contact Info,Organization account > Contact Info,string,,not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,accounts[*]->appSystemNo,Account accounting code,Organization account > Accounting code,string,,not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,accounts[*]->description,Account description,Organization account > Description,string,,not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,accounts[*]->accountStatus,Account status,Organization account > Account status,string,"dropdown hardcoded (Active, Inactive, Pending)",not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,accounts[*]->paymentMethod,Account payment method,Organization account > Payment method,string,"dropdown hardcoded (Credit Card, Cash, Physical Check, EFT, Deposit Account)",not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,accounts[*]->acqUnitIds,Account acquisition unit ID list,Organization account > Acquisition unit ID list,uuid[],,not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,accounts[*]->acquisition_unit,Account acquisition unit list,Organization account > Acquisition unit list,string[],,not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,accounting_code,Organization accounting code,,string,,"=, ≠, contains, starts, empty",true,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,agreements,Organization agreements,,object[],,not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,agreements[*]->name,Agreement vendor terms name,Organization agreements > Vendor terms name,string,,not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,agreements[*]->discount,Agreement discount percentage,Organization agreements > Discount percentage,number,,not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,agreements[*]->referenceUrl,Agreement reference URL,Organization agreements > Reference URL,string,,not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,agreements[*]->notes,Agreement notes,Organization agreements > Notes,string,,not queryable,false,true,false,false
837f262e-2073-4a00-8bcc-4e4ce6e669b3,drv_organization_details,,alias,Organization alias,,object[],,not queryable,false,true,false,false
